Frame,CarID,Speed_kmh
1038,0,250.1003775298867
1038,1,111.55968442922699
1038,2,241.4021860108502
1038,3,194.87770259404414
1038,4,0
1038,5,181.501761704445
1038,6,157.04062571693194
1038,7,262.03435222167536
1038,8,102.01102881551583
1038,9,218.7225832780849
1038,10,258.09882512665683
1038,11,7.954951288348658
1038,12,157.98328505973416
1038,13,232.16161846262276
1038,14,284.89523528585033
1038,15,0
1038,16,0
1038,17,77.59717293120246
1038,18,123.6076374877075
1038,19,52.75328868431668
1038,20,79.98495962810685
1038,21,207.409905285925
1038,22,208.6957901241376
1038,23,217.88336947969782
1038,24,103.64405855260202
1038,25,100.47911611632095
1038,26,102.36251701705754
1038,27,90.71133055068668
1038,28,317.89906548865963
1038,29,372.2925467417814
1038,30,339.3082802108024
1038,31,90.96732140103222
1038,32,30.047936336125744
1038,33,221.30972367362216
1038,34,202.97435572147288
1038,35,409.41454366488006
1038,36,45.62071897723664
1038,37,271.453933038011
1038,38,126.7514140576613
1038,39,337.29951108355283
1038,40,163.6583844084672
1038,41,297.5553663139018
1038,42,0
1038,43,0
1038,44,311.009258003391
1038,45,140.89876332166898
1038,46,273.95825439671944
1038,47,374.88435397719286
1038,48,11.453174593052022
1038,49,295.8415328308536
1038,50,113.84924231925629
1038,51,321.58174449122816
1038,52,127.5188008969788
1038,53,351.50530461538324
1038,54,298.81385172354356
1038,55,97.78803607803972
1038,56,266.93147317407767
1038,57,203.61336060338243
1038,58,277.53091322507237
1038,59,281.27791732225904
1038,60,341.1338427054743
1038,61,298.9620503244331
1038,62,343.95030273208965
1038,63,338.02854188228997
1038,64,240.44162406347522
1038,65,0
1038,66,0
1038,67,252.5669483416513
1038,68,174.78261430171455
1038,69,294.37576757520213
1038,70,120.35081168722488
1038,71,196.58315759792492
1038,72,106.21190575545333
1038,73,203.71117139191557
1038,74,335.34471382363336
1038,75,201.80436070610565
1038,76,45.88331893853933
1038,77,30.23346655611956
1038,78,30.23346655611956
1038,79,307.6970498214237
1038,80,124.24179125167404
1038,81,0
1038,82,0
1038,83,0
1038,84,0
1038,85,335.86293967812543
1038,86,114.77504003948042
1038,87,150.12322797778256
1038,88,90.62284480195929
1038,89,222.75052069483206
1038,90,245.29135425146563
1038,91,30.867152833267244
1038,92,0
1038,93,253.91137112481104
1038,94,407.70113669990786
1038,95,399.9675119344025
1038,96,99.01578277811697
1038,97,32.773069197016
1038,98,64.2748006609122
1038,99,0
1038,100,28.805126182420693
1038,101,27.04163456597992
1038,102,115.42619517167427
1038,103,57.11829829397931
1038,104,285.3391758314027
1038,105,94.9876805337158
1038,106,192.32406130999846
1038,107,97.03160139868808
1038,108,140.47948910074626
1038,109,194.02907093787695
1038,110,91.26842629136647
1038,111,181.75533826647677
1038,112,205.15438214120167
